name,edm_cluster_7,edm_cluster_6,edm_cluster_5,edm_cluster_4,edm_cluster_3,edm_cluster_2,edm_cluster_1,edm_cluster_0,edm_cluster_9,edm_cluster_8
best,0.010138,0.013968,0.010977,0.008216,0.014765,0.016069,0.014607,0.019607,0.010908,0.018255
armin,0.0,0.043973,0.005378,0.053934,0.008388,0.00213,0.00223,0.013825,0.000403,0.004203
down,0.006486,0.009982,0.054028,0.004783,0.008215,0.009894,0.009734,0.009966,0.011829,0.009161
year,0.008568,0.003615,0.006611,0.007509,0.01057,0.074145,0.006206,0.004271,0.006454,0.005109
back,0.007521,0.020117,0.008414,0.015341,0.013156,0.019199,0.010764,0.007327,0.01519,0.014525
listening,0.00592,0.017346,0.021448,0.021894,0.013155,0.006306,0.006758,0.024439,0.006841,0.007442
need,0.013267,0.009926,0.009622,0.034973,0.006506,0.013744,0.009482,0.00863,0.013635,0.010588
make,0.009386,0.012434,0.031152,0.006678,0.006607,0.014629,0.010122,0.014608,0.010793,0.013216
club,0.00296,0.022086,0.011402,0.013016,0.004697,0.006095,0.021727,0.022293,0.012567,0.008048
album,0.00882,0.006768,0.044528,0.004765,0.002054,0.001262,0.012989,0.007409,0.006145,0.028832
weekend,0.003941,0.008497,0.00657,0.009378,0.014462,0.055911,0.009127,0.002247,0.005292,0.007568
buuren,0.0,0.038154,0.004415,0.053129,0.00507,0.00096,0.001768,0.013663,0.000115,0.003708
edclv,0.0,0.050085,0.00084,0.004979,0.002729,0.056397,0.002056,0.001553,0.0,0.001911
afrojack,0.0,0.033635,0.008642,0.040265,0.007467,0.006449,0.003373,0.012051,0.0,0.0057
tiesto,0.000656,0.01027,0.013058,0.010182,0.062748,0.00682,0.00727,0.001295,0.0,0.003374
great,0.01166,0.011114,0.013001,0.00616,0.011691,0.014463,0.008826,0.007274,0.013562,0.014163
over,0.014007,0.009712,0.011352,0.010808,0.00922,0.013755,0.007982,0.008117,0.014786,0.011017
theedmsoundofla,0.007389,0.0,0.00479,0.002289,0.013428,0.0,0.074313,0.000627,0.004229,0.00217
next,0.006522,0.010586,0.012136,0.005274,0.010025,0.028424,0.008182,0.00643,0.008725,0.009139
listenlive,0.000782,0.000581,0.070497,0.024325,0.002556,0.0,0.000592,0.0,0.005674,0.0
track,0.005818,0.01138,0.014005,0.007384,0.010183,0.003193,0.018283,0.017886,0.007124,0.008924
edit,0.002726,0.002014,0.041288,0.021581,0.024214,0.000737,0.006068,0.001613,0.002659,0.001146
app,0.00719,0.0,0.004644,0.003683,0.013558,0.0,0.066283,0.001903,0.004564,0.002189
never,0.007479,0.036819,0.005656,0.005847,0.015051,0.007186,0.004536,0.005755,0.006783,0.008104
week,0.006913,0.008939,0.011434,0.004828,0.008703,0.030252,0.008509,0.004878,0.007626,0.010754
think,0.010168,0.009243,0.008822,0.004756,0.007425,0.011305,0.019421,0.010802,0.011939,0.008329
people,0.007515,0.007736,0.010536,0.006875,0.005041,0.02113,0.010632,0.007786,0.008725,0.01569
download,0.001661,0.003285,0.005419,0.014652,0.006334,0.002491,0.033051,0.013494,0.007255,0.013622
trap,0.000319,0.001575,0.000677,0.004094,0.004683,0.002798,0.025881,0.052554,0.005794,0.002813
ready,0.003399,0.013439,0.004823,0.005355,0.015942,0.02045,0.009367,0.004365,0.007035,0.016244
hiphop,0.000385,0.000971,9.8e-05,0.000492,0.000129,0.00056,0.058959,0.033183,0.002951,0.002491
wait,0.004236,0.014073,0.008194,0.006017,0.017852,0.021815,0.006039,0.004453,0.006961,0.009808
amazing,0.00559,0.01234,0.012804,0.006106,0.018685,0.01331,0.00691,0.007294,0.004758,0.008592
want,0.009362,0.010563,0.006423,0.008913,0.007282,0.015332,0.00953,0.007732,0.009736,0.01085
store,0.007376,0.000881,0.004848,0.002208,0.010513,0.001251,0.058665,0.002071,0.004711,0.003009
appstore,0.006967,0.0,0.004481,0.001842,0.0108,0.0,0.064535,0.000607,0.003863,0.001915
come,0.005307,0.011617,0.006015,0.005176,0.010527,0.015286,0.011056,0.005303,0.011923,0.011804
thanks,0.006113,0.017909,0.008023,0.006115,0.009637,0.010122,0.008116,0.006767,0.008636,0.011978
miami,0.001257,0.015666,0.015628,0.009476,0.014533,0.006558,0.012065,0.002827,0.002659,0.012167
first,0.009073,0.008808,0.008431,0.00447,0.006879,0.015434,0.007349,0.007631,0.012996,0.009494
world,0.004218,0.007743,0.007998,0.005891,0.017852,0.006466,0.010318,0.007044,0.006475,0.01651
favorite,0.007689,0.007342,0.011573,0.009315,0.010757,0.00658,0.005764,0.010735,0.009401,0.010351
original,0.002924,0.003461,0.016323,0.004774,0.005055,0.001262,0.03301,0.01143,0.007537,0.003268
tune,0.002389,0.007736,0.008912,0.012703,0.009967,0.002108,0.010096,0.008414,0.011892,0.014544
thank,0.00589,0.013593,0.007198,0.007831,0.013888,0.012938,0.005139,0.003907,0.005088,0.012606
edc_lasvegas,0.0,0.02333,0.000988,0.003861,0.008072,0.034438,0.001427,0.001464,0.001168,0.013142
coming,0.006763,0.009896,0.005558,0.00936,0.012122,0.010476,0.008647,0.005452,0.007741,0.011553
beatport,0.000457,0.005459,0.001314,0.012069,0.004496,0.00076,0.025618,0.018745,0.002821,0.014907
friday,0.004356,0.007442,0.00546,0.011345,0.008359,0.010562,0.020095,0.003536,0.005433,0.009734
tomorrowland,0.0,0.002336,0.002245,0.003531,0.04995,0.009299,0.002811,0.002705,0.000298,0.012492
hakkasan,0.0,0.005759,0.000596,0.036501,0.027288,0.011453,0.001661,0.000169,0.000974,0.001039
bpm,0.004176,0.00024,0.003999,0.004282,0.008158,0.001171,0.05863,0.000324,0.002256,0.002118
much,0.007972,0.009134,0.006709,0.011202,0.006592,0.010745,0.00793,0.00809,0.007809,0.00898
still,0.009175,0.009866,0.006243,0.005534,0.007483,0.013567,0.005793,0.007429,0.012337,0.006776
liked,0.004404,0.000769,0.011295,0.00624,0.004783,0.003427,0.001042,0.037663,0.011463,0.002721
please,0.005529,0.008812,0.005876,0.003549,0.007842,0.008528,0.007912,0.013825,0.006773,0.014843
really,0.009542,0.008801,0.008659,0.004693,0.006578,0.009808,0.005534,0.009534,0.01039,0.008632
ultralive,0.0,0.000765,0.000971,0.001359,0.07507,0.000223,0.001171,0.000566,0.0,0.001885
official,0.008171,0.002722,0.023578,0.003808,0.006808,0.004947,0.004127,0.010991,0.006129,0.010122
tomorrow,0.004615,0.011823,0.006537,0.004702,0.012107,0.012961,0.006503,0.003023,0.010929,0.00817
electro,0.000415,0.002148,0.001208,0.000813,0.002857,0.003159,0.030126,0.028561,0.003214,0.007679
googleplay,0.006515,0.0,0.003036,0.000948,0.009034,0.0,0.054437,0.000594,0.002889,0.001645
nickyromero,0.000144,0.018587,0.006602,0.00759,0.009737,0.00774,0.002069,0.002294,0.00224,0.019268
heard,0.004543,0.006217,0.011312,0.009923,0.006793,0.00409,0.00564,0.014648,0.007757,0.00485
happy,0.003682,0.010597,0.006129,0.006946,0.01172,0.01151,0.005588,0.003555,0.007783,0.008077
take,0.009145,0.008628,0.00457,0.007992,0.00642,0.010213,0.006317,0.004608,0.007956,0.009309
follow,0.003887,0.005512,0.003297,0.004336,0.003878,0.007512,0.01471,0.009939,0.003371,0.018498
radiodanz,0.0,0.003011,0.016731,0.039282,0.015497,0.000286,0.0,0.0,0.0,0.0
play,0.0058,0.009236,0.010814,0.005346,0.006621,0.005901,0.006663,0.007901,0.00828,0.006954
sensation,0.000566,0.003201,0.000872,0.003174,0.005587,0.015845,0.003757,0.002267,0.001962,0.03481
deep,0.001612,0.003408,0.000612,0.031459,0.000632,0.00088,0.003884,0.007685,0.004412,0.016482
nightclub,0.000277,0.003232,0.003289,0.030395,0.015684,0.01031,0.005064,0.000985,0.00068,0.001061
under,0.005228,0.002771,0.002489,0.031602,0.000991,0.005649,0.001635,0.013886,0.003983,0.002603
festivals,0.0,0.0,9e-05,0.000805,0.000158,0.004393,0.003149,0.000135,0.0,0.061635
rave,0.000168,0.002849,0.001673,0.005587,0.00573,0.016737,0.023278,0.009223,0.000607,0.004122
awesome,0.003754,0.007698,0.008537,0.003826,0.009536,0.007101,0.006216,0.01058,0.006219,0.005785
bass,0.000427,0.005085,0.001289,0.001636,0.000847,0.00248,0.011204,0.036072,0.005956,0.00373
work,0.012027,0.007098,0.004864,0.003665,0.005931,0.009072,0.006028,0.005114,0.00817,0.006406
gonna,0.00308,0.007016,0.005484,0.003728,0.007641,0.012264,0.003836,0.011835,0.007684,0.005013
